                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5274,                 2.3215,                 1.2409,                0.66703,                0.68344,                0.69336,                0.38927,                 1.4399,                 1.9532,                 1.3033,             0.00066338,             0.00066338,             0.00066338
                      1,                  1.584,                 1.5824,                 1.2994,                0.66202,                0.65409,                0.67002,                0.34191,                 1.6079,                 1.4804,                 1.3372,              0.0013169,              0.0013169,              0.0013169
                      2,                 1.6145,                 1.4075,                 1.3189,                0.63276,                0.60322,                0.59048,                0.29294,                 1.6385,                 2.6654,                 1.4073,              0.0019572,              0.0019572,              0.0019572
                      3,                 1.6033,                 1.3444,                 1.3271,                0.66589,                0.70613,                0.68978,                0.36054,                 1.5804,                 1.2942,                 1.4039,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.5371,                 1.2344,                  1.284,                0.74281,                0.72052,                0.79435,                0.44955,                 1.4619,                 1.1414,                 1.3022,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5393,                 1.2141,                 1.2896,                0.74608,                   0.77,                0.80137,                0.46352,                 1.3993,                 1.0402,                 1.2824,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5083,                 1.1749,                 1.2738,                0.79613,                0.73795,                0.81424,                0.47792,                 1.4108,                 1.0721,                 1.2856,               0.001901,               0.001901,               0.001901
                      7,                 1.4724,                 1.1227,                 1.2634,                0.69777,                0.75052,                0.77127,                0.44021,                 1.4761,                  1.082,                  1.329,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4658,                 1.0998,                 1.2458,                0.56887,                0.59748,                0.60174,                0.32161,                 1.5771,                 1.3492,                 1.3917,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4407,                 1.0703,                 1.2449,                0.80809,                0.74843,                0.83757,                0.49108,                 1.3772,                0.94271,                 1.2886,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4325,                 1.0477,                  1.231,                0.78511,                0.78127,                0.84291,                0.50739,                 1.3322,                0.93638,                 1.2365,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.382,                0.99524,                 1.2032,                0.86207,                0.78618,                 0.8939,                0.55545,                 1.3189,                0.83733,                 1.2085,               0.001802,               0.001802,               0.001802
                     12,                 1.3912,                0.99981,                 1.2048,                0.83307,                0.75262,                0.87198,                0.54365,                 1.3187,                0.89646,                  1.223,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3816,                0.96328,                 1.2027,                0.81967,                0.86373,                0.90312,                0.56363,                 1.3268,                0.78985,                 1.2007,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3717,                0.97446,                 1.1965,                0.80905,                0.80832,                0.87496,                  0.547,                 1.2876,                0.86026,                 1.1989,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3695,                0.96151,                 1.1966,                0.81539,                0.78407,                0.87522,                0.52757,                 1.3224,                0.89949,                 1.2163,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3602,                 0.9402,                 1.1902,                0.85184,                0.80084,                0.89537,                0.56886,                  1.256,                0.81309,                  1.184,               0.001703,               0.001703,               0.001703
                     17,                 1.3357,                0.91332,                 1.1782,                0.86706,                0.84486,                0.93027,                0.59611,                 1.2613,                 0.7656,                 1.1789,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3295,                0.88557,                 1.1691,                0.84957,                0.80713,                0.87865,                0.56146,                 1.2454,                0.84109,                 1.1832,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3253,                0.88798,                 1.1649,                0.86247,                0.84277,                 0.9148,                  0.591,                 1.2439,                0.76381,                 1.1582,              0.0016436,              0.0016436,              0.0016436
