                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.503,                 2.4785,                 1.2156,                0.78089,                 0.1046,                0.27351,                0.12826,                 1.6544,                 3.4903,                 1.4597,             0.00066013,             0.00066013,             0.00066013
                      1,                 1.5609,                 1.6264,                  1.292,                0.72647,                0.64361,                0.72494,                0.38811,                 1.5511,                 1.4448,                 1.3155,              0.0013137,              0.0013137,              0.0013137
                      2,                 1.5513,                 1.3791,                 1.2766,                 0.5861,                0.65904,                0.62269,                0.32238,                 1.5077,                 5.6391,                 1.3362,               0.001954,               0.001954,               0.001954
                      3,                 1.5593,                 1.3162,                  1.288,                0.67535,                0.72117,                0.75122,                0.41487,                 1.5673,                 1.3668,                   1.36,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.5154,                 1.2344,                 1.2766,                0.69145,                0.65828,                0.72383,                 0.3817,                 1.5919,                 1.2442,                 1.3469,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5028,                 1.1892,                 1.2556,                0.75018,                0.78063,                0.81195,                 0.4804,                 1.3876,                 1.1726,                 1.2385,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4679,                 1.1203,                 1.2347,                0.72103,                0.66667,                0.74788,                0.43457,                 1.4399,                 1.1111,                 1.3071,               0.001901,               0.001901,               0.001901
                      7,                  1.456,                 1.0726,                 1.2361,                0.74087,                0.81132,                0.82874,                0.49201,                 1.3905,                  1.053,                 1.2507,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4337,                 1.0534,                 1.2165,                0.77429,                0.79107,                0.84974,                0.49924,                 1.3779,                0.97322,                 1.2375,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4131,                 1.0364,                 1.2118,                0.74578,                0.79036,                0.81887,                0.48711,                 1.3449,                 1.0625,                 1.2267,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4171,                 1.0078,                 1.2098,                0.67084,                0.67715,                0.70933,                0.40289,                 1.4464,                 1.1648,                 1.2787,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4002,                0.98158,                 1.1992,                 0.8241,                0.75891,                0.86698,                0.52785,                 1.3401,                0.94743,                 1.2329,               0.001802,               0.001802,               0.001802
                     12,                 1.3885,                0.97283,                 1.2029,                0.80127,                0.79454,                0.87464,                0.52818,                 1.3298,                0.89231,                 1.2256,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3542,                 0.9297,                 1.1867,                0.75642,                 0.8218,                  0.833,                 0.5021,                 1.3126,                0.97707,                 1.2243,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3603,                0.93187,                 1.1744,                0.81138,                0.81165,                0.87603,                0.52262,                 1.3753,                0.87662,                 1.2468,              0.0017426,              0.0017426,              0.0017426
