                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4941,                 2.0222,                 1.2205,                0.60774,                0.59165,                0.64037,                0.35307,                  1.495,                 1.7405,                 1.2786,             0.00066327,             0.00066327,             0.00066327
                      2,                 1.5605,                 1.4936,                   1.28,                  0.618,                 0.6891,                 0.6831,                0.36384,                 1.6007,                 1.5696,                 1.3493,              0.0013168,              0.0013168,              0.0013168
                      3,                 1.5868,                 1.3743,                 1.3183,                0.69366,                0.67053,                 0.7425,                0.42024,                 1.4021,                 1.6606,                 1.2583,              0.0019571,              0.0019571,              0.0019571
                      4,                 1.5896,                 1.3292,                 1.3181,                0.59909,                0.60093,                0.56329,                0.29625,                 1.5234,                 1.4975,                 1.3073,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5481,                 1.2468,                 1.2917,                0.72667,                0.74014,                0.75898,                0.45138,                 1.3942,                 1.1363,                 1.2431,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4964,                 1.1853,                 1.2599,                0.68032,                 0.6891,                 0.7018,                0.39495,                 1.4749,                 1.2086,                 1.2863,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4918,                  1.147,                 1.2618,                0.70915,                 0.7819,                0.78987,                0.47221,                 1.3528,                 1.2084,                 1.1846,               0.001901,               0.001901,               0.001901
                      8,                  1.476,                 1.1438,                 1.2588,                0.71865,                0.80601,                0.82357,                0.51061,                 1.3343,                0.99194,                 1.2023,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4539,                  1.079,                 1.2459,                0.77731,                0.77749,                0.83036,                0.48407,                 1.4283,                0.98319,                  1.218,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4546,                 1.0876,                 1.2415,                0.71483,                0.77958,                0.75632,                0.45341,                 1.2988,                  1.087,                 1.1784,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4442,                 1.0485,                 1.2423,                0.75242,                0.79814,                0.83724,                0.51928,                 1.2387,                  1.029,                 1.1593,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4058,                 1.0137,                 1.2227,                0.80882,                0.76102,                0.83963,                0.51817,                 1.3171,                0.96592,                 1.1769,               0.001802,               0.001802,               0.001802
