                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5551,                 1.8458,                  1.274,                0.68073,                0.68731,                0.73962,                 0.3949,                 1.5006,                 1.5092,                 1.2969,             0.00066231,             0.00066231,             0.00066231
                      2,                 1.6309,                 1.4755,                 1.3341,                0.72506,                 0.6935,                0.73336,                0.39248,                 1.5418,                 1.5902,                 1.2942,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.6504,                 1.4108,                 1.3515,                0.69614,                0.67492,                0.72678,                0.37783,                 1.6117,                 1.3411,                 1.3543,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.6531,                 1.3777,                 1.3571,                0.69366,                0.63093,                0.69579,                0.36728,                 1.6264,                 1.4972,                 1.3416,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6079,                 1.3125,                 1.3238,                0.64138,                0.73994,                0.72666,                0.39261,                 1.3836,                 1.3518,                 1.2523,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5969,                 1.2842,                 1.3239,                  0.779,                0.75851,                0.82179,                0.46874,                  1.426,                 1.0609,                 1.2587,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5697,                 1.2475,                 1.3228,                0.77149,                0.76161,                0.81111,                0.49115,                 1.3554,                 1.1786,                 1.2212,               0.001901,               0.001901,               0.001901
                      8,                 1.5357,                 1.1685,                 1.2965,                0.80598,                0.80805,                0.86556,                0.51813,                 1.3555,                0.93569,                 1.2378,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5156,                 1.1504,                 1.2776,                0.77434,                0.78947,                0.83096,                0.49396,                 1.4161,                 1.0383,                 1.2417,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.526,                 1.1502,                 1.2687,                0.84868,                0.74666,                 0.8527,                0.51209,                  1.371,                0.95454,                  1.232,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4916,                 1.1208,                 1.2781,                0.84826,                0.80186,                0.88601,                0.53952,                 1.3541,                0.89097,                 1.2086,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4651,                 1.0844,                 1.2628,                0.79076,                0.82353,                0.88255,                 0.5421,                 1.3108,                 0.8804,                 1.2022,               0.001802,               0.001802,               0.001802
                     13,                 1.4733,                 1.0828,                  1.259,                0.66406,                0.67183,                0.68845,                0.36383,                 1.5285,                 1.2114,                 1.3452,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4657,                 1.0672,                 1.2583,                0.84091,                0.81825,                0.88566,                0.54571,                 1.3001,                0.91251,                 1.1919,              0.0017624,              0.0017624,              0.0017624
