                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7564,                 1.9391,                 1.4295,                0.00068,                 0.1174,                0.00036,                0.00012,                 2.9491,                    inf,                 4.1986,               0.070294,              0.0033007,              0.0033007
                      2,                 1.8626,                 1.6811,                 1.5249,                0.46174,                 0.4586,                0.40752,                0.18031,                 1.8175,                 3.8305,                 1.5874,               0.040228,              0.0065683,              0.0065683
                      3,                 1.7957,                 1.6034,                 1.4764,                0.56475,                0.55221,                0.53828,                0.26123,                 1.7429,                 5.0793,                 1.5877,               0.010097,                0.00977,                0.00977
                      4,                 1.7433,                 1.5124,                 1.4491,                0.52248,                0.55556,                0.53763,                0.26009,                 1.7689,                 1.6702,                  1.568,               0.009703,               0.009703,               0.009703
                      5,                 1.7225,                 1.4857,                 1.4516,                 0.5592,                0.49686,                0.52831,                0.25109,                 1.8209,                 1.7559,                 1.5974,               0.009703,               0.009703,               0.009703
                      6,                 1.6953,                 1.4682,                 1.4293,                0.50515,                0.50524,                0.46042,                0.19975,                 2.0086,                 2.2351,                 1.7777,               0.009604,               0.009604,               0.009604
                      7,                 1.6735,                 1.4165,                 1.4136,                0.64617,                0.70231,                 0.7138,                0.36781,                 1.5919,                 1.3129,                 1.4238,               0.009505,               0.009505,               0.009505
                      8,                 1.6416,                 1.3576,                 1.3908,                0.66327,                0.69602,                0.69366,                0.36929,                  1.608,                  1.286,                 1.4701,               0.009406,               0.009406,               0.009406
                      9,                 1.5996,                 1.3397,                 1.3787,                0.57027,                0.61484,                0.63755,                0.36559,                 1.5326,                 1.3618,                 1.4149,               0.009307,               0.009307,               0.009307
                     10,                 1.6049,                 1.3291,                 1.3747,                0.73014,                0.74423,                0.80157,                0.43834,                 1.4076,                 1.9044,                 1.3228,               0.009208,               0.009208,               0.009208
                     11,                 1.5965,                 1.3258,                 1.3766,                0.44748,                0.55346,                0.51194,                0.26312,                  1.638,                 1.7099,                 1.5573,               0.009109,               0.009109,               0.009109
                     12,                 1.5865,                  1.287,                 1.3667,                0.64888,                0.67925,                0.71614,                0.37803,                 1.5805,                 1.2853,                 1.4279,                0.00901,                0.00901,                0.00901
                     13,                 1.5448,                 1.2836,                 1.3578,                0.64558,                0.69602,                0.70684,                 0.4111,                 1.4062,                 1.3132,                 1.3612,               0.008911,               0.008911,               0.008911
                     14,                 1.5195,                 1.2088,                  1.336,                 0.6855,                0.75472,                0.76267,                0.42898,                 1.4619,                 1.3891,                 1.3755,               0.008812,               0.008812,               0.008812
                     15,                 1.5435,                 1.2316,                 1.3461,                0.63219,                0.56813,                0.60231,                0.31295,                 1.6094,                 1.5159,                 1.4955,               0.008713,               0.008713,               0.008713
                     16,                 1.5451,                 1.2503,                 1.3442,                0.67763,                 0.7086,                0.75566,                0.42831,                 1.4358,                 1.1923,                 1.3671,               0.008614,               0.008614,               0.008614
                     17,                 1.5027,                 1.1831,                 1.3362,                0.74445,                0.70021,                0.79983,                  0.459,                 1.4756,                 1.1268,                 1.3631,               0.008515,               0.008515,               0.008515
                     18,                 1.5323,                 1.1931,                 1.3438,                0.75473,                0.72746,                0.79962,                0.46306,                 1.3839,                 1.1373,                 1.3534,               0.008416,               0.008416,               0.008416
                     19,                 1.5071,                 1.1715,                 1.3227,                0.64347,                0.72537,                 0.7477,                0.41629,                 1.4534,                 1.1816,                 1.3462,               0.008317,               0.008317,               0.008317
                     20,                 1.5018,                 1.1689,                 1.3233,                0.55965,                0.62264,                0.58218,                  0.309,                 1.5482,                 1.6476,                 1.4682,               0.008218,               0.008218,               0.008218
                     21,                  1.478,                 1.1126,                 1.3051,                 0.6631,                0.67925,                0.69808,                0.39295,                 1.4991,                 1.2624,                 1.4602,               0.008119,               0.008119,               0.008119
                     22,                 1.4893,                 1.1597,                 1.3189,                0.69173,                0.70094,                0.74921,                0.41991,                 1.4838,                  1.206,                 1.4078,                0.00802,                0.00802,                0.00802
                     23,                  1.484,                 1.1255,                 1.3144,                0.73379,                 0.7652,                0.80003,                0.46214,                 1.4874,                  1.095,                 1.4029,               0.007921,               0.007921,               0.007921
                     24,                 1.4846,                 1.1326,                 1.3161,                0.60109,                 0.7086,                0.66988,                0.38765,                 1.4931,                 1.2697,                 1.4165,               0.007822,               0.007822,               0.007822
                     25,                 1.4807,                 1.1218,                 1.3087,                0.72805,                0.73375,                0.79256,                0.47151,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     26,                 1.4463,                  1.096,                 1.2971,                0.72258,                0.76445,                0.80594,                0.48321,                 1.4105,                 1.0549,                  1.349,               0.007624,               0.007624,               0.007624
                     27,                 1.4579,                  1.105,                 1.3027,                0.69439,                0.71927,                0.76538,                0.44678,                 1.4567,                 1.1244,                 1.3861,               0.007525,               0.007525,               0.007525
                     28,                 1.4424,                  1.085,                 1.2898,                0.76679,                0.80713,                0.86122,                0.51187,                 1.3466,                  1.046,                 1.2908,               0.007426,               0.007426,               0.007426
                     29,                 1.4346,                 1.0797,                 1.2757,                0.76536,                 0.8239,                 0.8566,                0.51678,                 1.3478,                0.99227,                 1.2748,               0.007327,               0.007327,               0.007327
                     30,                 1.4354,                  1.073,                 1.2929,                0.76958,                 0.7352,                0.79622,                0.47106,                 1.3948,                 1.0328,                 1.3513,               0.007228,               0.007228,               0.007228
                     31,                 1.4154,                 1.0514,                 1.2728,                0.77392,                 0.7679,                0.84608,                0.51146,                 1.3527,                0.99036,                 1.3023,               0.007129,               0.007129,               0.007129
                     32,                 1.4352,                 1.0552,                 1.2889,                0.79393,                0.76939,                0.85018,                0.50247,                 1.4027,                0.99105,                  1.321,                0.00703,                0.00703,                0.00703
                     33,                 1.4114,                 1.0335,                 1.2798,                0.79831,                0.78826,                0.85332,                0.51742,                 1.3607,                0.95052,                 1.3152,               0.006931,               0.006931,               0.006931
                     34,                 1.4115,                 1.0322,                 1.2708,                0.79696,                0.79665,                0.87392,                0.53518,                  1.328,                0.95518,                 1.3024,               0.006832,               0.006832,               0.006832
