                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5421,                 1.9772,                 1.2476,                0.71557,                0.60753,                 0.7006,                0.35838,                 1.5147,                 1.9776,                 1.2328,             0.00065801,             0.00065801,             0.00065801
                      2,                 1.5789,                 1.4518,                 1.3115,                0.45809,                0.32508,                0.34709,                0.18606,                 1.6964,                 2.5911,                 1.4285,              0.0013116,              0.0013116,              0.0013116
                      3,                 1.6232,                 1.3985,                 1.3608,                0.54851,                 0.4852,                0.49237,                0.26032,                 1.6967,                 2.0131,                 1.5153,              0.0019519,              0.0019519,              0.0019519
                      4,                 1.6318,                 1.3615,                 1.3545,                 0.5937,                 0.6192,                0.61244,                0.32033,                 1.5938,                 2.2416,                 1.3653,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6166,                 1.3183,                 1.3544,                 0.6634,                0.62849,                0.67376,                0.37233,                 1.4694,                  1.458,                 1.3256,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5631,                 1.2391,                 1.3199,                0.75109,                0.75671,                0.79939,                0.44092,                  1.467,                 1.2247,                  1.314,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5391,                 1.1925,                 1.3009,                0.46829,                0.50155,                0.45492,                0.23176,                 1.6727,                 2.5312,                 1.4386,               0.001901,               0.001901,               0.001901
                      8,                   1.51,                 1.1618,                 1.2862,                0.76703,                0.76449,                0.80849,                0.46813,                  1.364,                 1.1242,                 1.2394,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5371,                 1.1476,                 1.2976,                0.80322,                0.74558,                0.84546,                0.49534,                 1.4491,                 1.0009,                 1.2817,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4849,                 1.1148,                 1.2782,                0.82508,                0.81777,                0.85852,                0.52039,                  1.327,                 1.0189,                 1.2161,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.469,                 1.0968,                 1.2641,                0.78404,                0.79257,                 0.8319,                0.48063,                  1.378,                0.96532,                 1.2663,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4593,                 1.0679,                 1.2667,                0.86908,                 0.7678,                0.87622,                0.54168,                 1.3193,                0.92903,                 1.2091,               0.001802,               0.001802,               0.001802
                     13,                 1.4594,                  1.057,                 1.2648,                0.84605,                0.76471,                0.83653,                0.48612,                 1.4278,                0.94502,                 1.2723,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4209,                 1.0313,                 1.2377,                0.81794,                0.73065,                0.82892,                 0.4966,                 1.3846,                 1.0673,                 1.2648,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4361,                 1.0414,                 1.2555,                0.80939,                0.81509,                0.87702,                0.52727,                 1.3112,                0.98662,                 1.1953,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4245,                 1.0317,                 1.2362,                0.84656,                 0.7345,                0.83178,                0.46642,                 1.5215,                 0.9929,                 1.3424,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4125,                0.98378,                 1.2353,                0.87727,                0.83591,                0.90308,                0.56245,                 1.2656,                0.84513,                 1.1939,               0.001703,               0.001703,               0.001703
                     18,                 1.4053,                0.98654,                 1.2493,                0.81043,                0.83382,                 0.8766,                0.53905,                 1.3324,                 0.8885,                 1.2351,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4103,                0.98112,                 1.2276,                0.73143,                0.66563,                0.73807,                  0.394,                 1.5522,                 1.1816,                  1.345,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4012,                0.96815,                 1.2256,                0.87701,                0.81683,                0.90013,                0.55646,                 1.2861,                0.85814,                 1.1912,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3892,                0.96966,                 1.2206,                0.87277,                 0.8452,                0.89791,                0.56759,                 1.2127,                0.79785,                 1.1521,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.3699,                0.95343,                 1.2113,                0.86247,                0.83483,                0.89031,                0.55455,                 1.2868,                0.84315,                 1.2173,               0.001604,               0.001604,               0.001604
                     23,                 1.3704,                 0.9372,                 1.2253,                0.83675,                0.84211,                0.90212,                0.55409,                 1.2995,                 0.8439,                 1.2108,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.3551,                0.91709,                 1.2024,                0.88287,                0.79341,                0.90356,                0.56704,                 1.2454,                0.81482,                 1.1676,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.3634,                0.93331,                 1.2036,                0.90582,                0.83591,                0.92789,                0.58641,                 1.2483,                0.76263,                 1.1818,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3534,                0.92465,                 1.2063,                0.85945,                0.82043,                0.90017,                0.58396,                 1.2265,                0.78717,                 1.1576,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.3461,                0.90533,                 1.1945,                0.82983,                 0.8452,                0.89079,                0.54813,                 1.3008,                0.80582,                  1.204,               0.001505,               0.001505,               0.001505
                     28,                 1.3268,                0.90164,                 1.1908,                0.77145,                0.86068,                0.87987,                0.54437,                 1.2541,                0.87619,                 1.1935,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3218,                 0.8843,                 1.1771,                0.79984,                0.86687,                0.90153,                  0.571,                 1.2566,                0.80021,                 1.1676,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3233,                0.86608,                 1.1932,                0.89395,                0.80186,                0.90792,                0.58968,                 1.2697,                0.81779,                 1.1897,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3382,                0.89556,                 1.1997,                0.86401,                0.82972,                0.91155,                0.58685,                 1.2111,                0.82843,                 1.1635,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3414,                0.87731,                 1.1931,                0.86584,                0.87307,                0.92061,                 0.5836,                 1.2603,                0.73123,                 1.1886,               0.001406,               0.001406,               0.001406
                     33,                 1.3146,                0.86145,                 1.1759,                0.88295,                0.81737,                0.90816,                0.56623,                 1.2378,                0.75853,                 1.1623,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3005,                0.85362,                 1.1683,                0.87108,                0.85449,                 0.9254,                0.61006,                 1.2093,                0.70722,                 1.1571,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3054,                0.84983,                 1.1784,                0.85386,                 0.8502,                0.91667,                0.58753,                 1.1925,                0.73341,                 1.1421,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3089,                0.85027,                 1.1743,                 0.8727,                0.85759,                0.91035,                0.56641,                 1.2523,                0.73752,                 1.1933,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2918,                0.83674,                 1.1671,                0.85231,                0.86378,                 0.9154,                0.58989,                 1.2081,                0.72221,                 1.1542,               0.001307,               0.001307,               0.001307
                     38,                 1.2966,                0.83447,                 1.1783,                0.89518,                0.84211,                0.92239,                0.59579,                 1.2564,                0.72404,                  1.174,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2702,                0.81531,                 1.1506,                0.87869,                0.87616,                0.93357,                0.61221,                 1.1884,                0.66602,                 1.1413,              0.0012674,              0.0012674,              0.0012674
