                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.527,                 2.1125,                 1.2341,                0.60326,                0.24832,                 0.4224,                0.23419,                 1.6231,                  4.943,                 1.3663,               0.068028,             0.00065248,             0.00065248
                      2,                  1.509,                 1.3066,                 1.2852,                0.40822,                0.44295,                0.34254,                0.13793,                 2.1521,                  3.222,                 1.7718,               0.035357,              0.0013148,              0.0013148
                      3,                 1.5316,                 1.2913,                 1.2974,                0.45236,                0.52349,                0.45286,                0.23279,                 1.6379,                 2.6274,                  1.447,              0.0026819,              0.0019727,              0.0019727
                      4,                 1.5192,                 1.2898,                 1.2903,                0.18584,                0.21253,                 0.1063,                0.03403,                 2.5261,                 3.0385,                 2.0033,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5027,                 1.2335,                 1.2781,                0.43845,                0.39597,                0.33946,                0.15204,                  1.877,                 3.7665,                 1.5558,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4704,                 1.1624,                 1.2591,                0.55214,                0.61074,                0.56896,                0.29472,                 1.5573,                 1.7708,                 1.3901,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.4713,                  1.133,                  1.273,                0.65678,                  0.566,                0.62828,                0.33817,                 1.5763,                 1.4675,                 1.3456,               0.001967,               0.001967,               0.001967
                      8,                 1.4381,                 1.0877,                 1.2415,                0.76711,                0.72707,                0.80822,                0.48087,                 1.3785,                 1.3769,                  1.214,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4183,                 1.0404,                  1.236,                0.74026,                 0.6689,                0.74918,                0.44332,                 1.3716,                 1.2445,                 1.2503,              0.0019538,              0.0019538,              0.0019538
                     10,                  1.415,                 1.0433,                   1.23,                0.70658,                 0.6689,                0.71654,                0.40542,                 1.5064,                  1.136,                 1.3081,              0.0019472,              0.0019472,              0.0019472
                     11,                  1.398,                 1.0107,                 1.2167,                0.75193,                0.73235,                  0.799,                0.46048,                  1.447,                 1.0664,                  1.281,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.3839,                0.98012,                  1.214,                0.69307,                0.71812,                 0.7299,                0.40315,                 1.5392,                  1.187,                 1.3966,               0.001934,               0.001934,               0.001934
                     13,                 1.3745,                0.97228,                 1.2102,                0.84531,                0.81208,                0.85239,                0.52897,                 1.3112,                0.89965,                 1.2015,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3607,                0.96279,                 1.1985,                0.76715,                0.72229,                0.78263,                0.43283,                  1.572,                 1.0087,                 1.3459,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.3342,                0.94197,                 1.1858,                0.76424,                0.72483,                0.77213,                0.46299,                 1.3692,                 1.0164,                 1.2561,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.3646,                 0.9248,                 1.2057,                0.77517,                0.77629,                0.81524,                0.46022,                 1.4731,                0.99318,                 1.3139,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.3208,                0.91341,                 1.1836,                 0.7903,                0.76725,                0.82964,                0.49491,                 1.3576,                 0.9867,                  1.227,               0.001901,               0.001901,               0.001901
                     18,                 1.3312,                0.89736,                 1.1843,                0.77944,                0.81208,                0.86805,                0.54399,                 1.2604,                0.85687,                 1.1867,              0.0018944,              0.0018944,              0.0018944
