                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4748,                 3.3395,                 1.2068,                0.61394,                0.49442,                0.57097,                0.30809,                 1.2808,                 3.2102,                 1.0989,                  0.068,             0.00065306,             0.00065306
                      2,                 1.4324,                 1.6926,                 1.1813,                0.78076,                0.63109,                 0.7717,                0.46066,                 1.3081,                  1.964,                 1.1252,               0.035329,              0.0013154,              0.0013154
                      3,                 1.3738,                 1.3106,                 1.1591,                0.73192,                0.78549,                0.81565,                0.50525,                 1.2786,                 1.2934,                 1.0946,              0.0026536,              0.0019733,              0.0019733
                      4,                 1.3423,                 1.1848,                  1.139,                0.70927,                0.78679,                 0.7949,                 0.4806,                 1.3027,                 1.2005,                 1.1188,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.3237,                  1.114,                 1.1293,                0.87192,                0.77726,                0.88913,                0.55649,                 1.2376,                0.96135,                  1.076,              0.0019802,              0.0019802,              0.0019802
                      6,                  1.301,                 1.0743,                 1.1215,                0.74967,                0.71568,                0.77496,                0.45263,                  1.362,                 1.1808,                 1.1307,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.2696,                 1.0183,                 1.1047,                0.78699,                0.82295,                0.85894,                0.54668,                 1.2689,                 1.0131,                 1.0971,               0.001967,               0.001967,               0.001967
                      8,                 1.2893,                 1.0071,                  1.108,                 0.8305,                0.82986,                0.87787,                0.55888,                 1.1961,                0.93713,                  1.061,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.2551,                0.96878,                 1.0905,                0.86266,                0.80158,                0.89741,                0.58219,                 1.1813,                0.88545,                 1.0478,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.2387,                 0.9353,                 1.0862,                0.85017,                0.83063,                0.89256,                0.56803,                 1.2246,                0.89993,                 1.0665,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.2493,                0.91017,                 1.0876,                0.83712,                0.87935,                0.92138,                0.60373,                 1.1901,                0.81472,                  1.061,              0.0019406,              0.0019406,              0.0019406
                     12,                  1.219,                0.88452,                  1.077,                0.85843,                0.86775,                0.91468,                0.60928,                 1.1578,                0.79577,                 1.0536,               0.001934,               0.001934,               0.001934
                     13,                 1.2049,                0.86332,                 1.0694,                0.88137,                0.86186,                0.91464,                0.58442,                 1.1996,                0.82381,                  1.059,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.1899,                0.84689,                 1.0652,                0.81931,                0.89559,                0.91365,                0.60806,                 1.1586,                0.79798,                  1.038,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.1863,                0.83016,                 1.0662,                0.80106,                0.85847,                0.88852,                0.55914,                 1.2352,                0.85276,                 1.0617,              0.0019142,              0.0019142,              0.0019142
                     16,                  1.176,                 0.8041,                 1.0485,                0.88503,                0.89095,                0.93216,                  0.627,                 1.1483,                0.72498,                 1.0333,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.1702,                0.80155,                 1.0559,                0.86499,                0.91879,                0.92524,                0.61535,                 1.1668,                0.73314,                 1.0359,               0.001901,               0.001901,               0.001901
                     18,                 1.1659,                0.80197,                 1.0537,                0.87805,                0.80278,                0.90495,                0.57046,                 1.2305,                0.81583,                 1.0768,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.1641,                0.78327,                 1.0482,                0.87025,                0.90259,                0.94721,                0.63862,                 1.1289,                0.72468,                 1.0327,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.1552,                0.76281,                 1.0405,                0.91273,                0.90255,                0.94823,                0.63407,                 1.1419,                 0.6866,                 1.0291,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.1475,                0.76303,                 1.0434,                0.89857,                0.87935,                0.93197,                0.60912,                 1.1888,                0.74203,                 1.0534,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.1383,                0.75398,                 1.0385,                0.90954,                0.88646,                0.94303,                0.62509,                 1.1525,                0.69265,                 1.0479,               0.001868,               0.001868,               0.001868
                     23,                 1.1344,                0.74433,                  1.041,                 0.8865,                0.90487,                 0.9456,                0.65458,                 1.0898,                0.67811,                 1.0082,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.1422,                0.74774,                 1.0468,                0.89269,                0.90719,                0.95416,                0.65072,                 1.1301,                0.68179,                 1.0324,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.1271,                0.73043,                 1.0366,                 0.8897,                0.89835,                0.94668,                 0.6361,                 1.1158,                0.66346,                 1.0316,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.1275,                0.71963,                 1.0321,                0.86993,                0.90001,                0.92796,                  0.602,                 1.1937,                 0.7352,                 1.0656,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.1077,                0.71532,                 1.0218,                 0.9012,                0.84223,                0.90539,                0.57521,                 1.2609,                0.74452,                 1.0964,               0.001835,               0.001835,               0.001835
                     28,                 1.1157,                 0.7067,                 1.0291,                0.90119,                0.88879,                0.93736,                0.63213,                 1.1393,                0.65381,                 1.0312,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.1159,                0.70339,                 1.0266,                 0.9066,                0.92337,                0.95026,                0.65625,                 1.1108,                0.63695,                 1.0132,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.1011,                0.69456,                 1.0236,                0.88271,                0.93039,                0.94246,                0.64226,                 1.1338,                 0.6349,                 1.0306,              0.0018152,              0.0018152,              0.0018152
                     31,                  1.089,                0.68951,                 1.0248,                0.91821,                0.88631,                0.95656,                 0.6483,                 1.1319,                0.63438,                 1.0341,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.1043,                 0.6948,                 1.0243,                0.88888,                0.90946,                0.94445,                0.62688,                 1.1405,                0.67724,                 1.0366,               0.001802,               0.001802,               0.001802
                     33,                 1.1016,                0.68497,                 1.0222,                0.92901,                0.91089,                0.95928,                 0.6539,                  1.155,                0.61924,                 1.0353,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.0969,                0.67486,                 1.0242,                0.91446,                0.91773,                0.96181,                0.66004,                 1.1173,                0.60763,                 1.0244,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.0948,                0.68327,                 1.0222,                0.88661,                0.91415,                0.95028,                0.63121,                 1.1405,                 0.6547,                 1.0347,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.0848,                0.67619,                 1.0173,                0.91266,                0.92132,                 0.9628,                0.66657,                  1.092,                0.58129,                 1.0167,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.0766,                 0.6626,                 1.0155,                0.89038,                 0.9423,                0.95892,                 0.6537,                 1.1129,                0.59969,                  1.018,               0.001769,               0.001769,               0.001769
                     38,                 1.0668,                0.65841,                 1.0095,                0.88352,                0.91515,                0.94962,                0.64868,                 1.1046,                0.61213,                 1.0254,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.0586,                0.64777,                 1.0109,                0.89532,                0.93269,                0.96013,                0.67349,                 1.0883,                0.58569,                 1.0087,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.0646,                 0.6477,                 1.0102,                 0.8979,                0.93503,                0.95858,                0.66848,                  1.104,                0.60048,                  1.023,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.0582,                0.64728,                  1.011,                0.90038,                0.92807,                0.95043,                0.67584,                 1.0432,                0.56792,                0.99936,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.0527,                0.63562,                 1.0052,                0.90308,                0.93039,                0.96046,                0.67249,                 1.0916,                0.57241,                 1.0219,               0.001736,               0.001736,               0.001736
                     43,                 1.0326,                0.63507,                0.99817,                0.90473,                0.92343,                0.95414,                0.64747,                  1.117,                0.62773,                 1.0386,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.0406,                0.63915,                 1.0005,                 0.9104,                0.91943,                0.95448,                0.66736,                  1.083,                0.61961,                  1.009,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.0557,                0.63716,                 1.0077,                0.92094,                0.93503,                0.96041,                0.66965,                 1.0794,                0.58553,                 1.0062,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.0387,                0.62943,                0.99619,                0.88638,                0.95592,                0.96371,                0.67638,                 1.0809,                0.56081,                 1.0131,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.0256,                0.61807,                0.99391,                0.91727,                0.92606,                0.95862,                0.66912,                 1.0809,                0.55911,                 1.0202,               0.001703,               0.001703,               0.001703
                     48,                 1.0248,                 0.6164,                 0.9983,                0.91483,                0.89713,                0.95341,                0.66703,                 1.0905,                0.59678,                 1.0219,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.0447,                0.62074,                 1.0023,                0.91736,                0.92726,                0.95982,                0.66821,                  1.082,                0.57144,                 1.0228,              0.0016898,              0.0016898,              0.0016898
                     50,                  1.035,                0.61655,                 1.0023,                0.91539,                0.90719,                0.94426,                0.66836,                 1.0745,                0.59241,                 1.0133,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.0294,                 0.6127,                0.99551,                0.92864,                 0.9058,                0.95627,                0.67628,                 1.0599,                0.55718,                 1.0095,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.0278,                0.60793,                  0.999,                0.89623,                0.92182,                0.94945,                0.66475,                 1.1149,                0.60213,                 1.0275,                0.00167,                0.00167,                0.00167
