                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4992,                 2.2079,                  1.237,                0.75528,                 0.7262,                0.80265,                0.46833,                 1.2791,                 1.4962,                 1.1357,              0.0033115,              0.0033115,              0.0033115
                      2,                 1.5229,                 1.5031,                 1.2441,                0.70166,                0.64077,                0.70172,                0.39035,                 1.3832,                 1.6346,                 1.1941,               0.006623,               0.006623,               0.006623
                      3,                 1.6179,                 1.5146,                 1.3038,                0.53236,                0.64396,                0.56928,                0.30501,                 1.5038,                 1.8421,                 1.2951,              0.0099124,              0.0099124,              0.0099124
                      4,                 1.6925,                 1.5092,                 1.3523,                0.61089,                0.63777,                 0.6692,                0.33781,                 1.5853,                   4.92,                 1.3565,               0.009901,               0.009901,               0.009901
                      5,                 1.6697,                 1.4352,                 1.3659,                0.49957,                0.60681,                 0.5178,                0.23725,                 1.6618,                  1.691,                 1.4232,               0.009901,               0.009901,               0.009901
                      6,                 1.6567,                  1.405,                 1.3595,                0.68058,                0.69924,                0.71494,                0.36352,                 1.5945,                  1.405,                 1.4111,               0.009868,               0.009868,               0.009868
                      7,                 1.6463,                 1.3792,                 1.3609,                0.63724,                0.68526,                0.66831,                0.35973,                 1.4203,                 1.5059,                 1.2821,               0.009835,               0.009835,               0.009835
                      8,                 1.6241,                 1.3085,                 1.3433,                0.70254,                0.70927,                0.76525,                0.41167,                 1.5469,                 1.1549,                 1.3434,               0.009802,               0.009802,               0.009802
                      9,                 1.5978,                 1.2567,                 1.3339,                0.74116,                0.77709,                0.79709,                0.45631,                 1.4729,                 1.0899,                 1.3087,               0.009769,               0.009769,               0.009769
                     10,                 1.5839,                 1.2168,                 1.3208,                0.76258,                0.63644,                0.73425,                0.39838,                 1.5781,                 1.3437,                 1.3764,               0.009736,               0.009736,               0.009736
                     11,                 1.5742,                 1.2121,                  1.319,                0.74314,                 0.7345,                0.80582,                 0.4657,                 1.4541,                 1.1163,                  1.291,               0.009703,               0.009703,               0.009703
                     12,                 1.5281,                 1.1783,                 1.2947,                 0.8258,                0.74853,                0.83569,                0.49936,                 1.4037,                 1.0233,                 1.2571,                0.00967,                0.00967,                0.00967
                     13,                 1.5404,                 1.1677,                 1.2938,                0.76946,                0.78328,                0.80336,                0.44386,                 1.4592,                 1.0797,                 1.2872,               0.009637,               0.009637,               0.009637
                     14,                 1.5457,                  1.177,                 1.3101,                0.84244,                0.74923,                0.85771,                0.52386,                 1.3453,                 0.9941,                 1.2172,               0.009604,               0.009604,               0.009604
                     15,                 1.5291,                   1.14,                 1.2952,                0.84225,                0.71207,                0.81319,                 0.4896,                 1.3921,                 1.1061,                 1.2825,               0.009571,               0.009571,               0.009571
                     16,                 1.5157,                 1.1524,                 1.3002,                0.77713,                0.83123,                0.85384,                0.50936,                 1.3615,                0.99294,                  1.244,               0.009538,               0.009538,               0.009538
                     17,                 1.5064,                 1.1103,                  1.285,                0.72296,                0.78367,                0.77634,                0.43079,                  1.521,                  1.074,                 1.3193,               0.009505,               0.009505,               0.009505
                     18,                 1.4909,                 1.1106,                 1.2745,                0.79385,                0.81734,                0.88405,                0.54464,                  1.357,                0.93173,                 1.2101,               0.009472,               0.009472,               0.009472
                     19,                 1.4952,                 1.1078,                 1.2806,                0.84576,                0.81489,                0.89956,                0.55045,                  1.318,                0.85618,                 1.2275,               0.009439,               0.009439,               0.009439
                     20,                   1.47,                 1.0716,                 1.2677,                0.82917,                 0.8265,                0.89206,                 0.5432,                 1.3078,                0.89736,                 1.1824,               0.009406,               0.009406,               0.009406
                     21,                 1.4699,                 1.0657,                 1.2693,                0.80667,                0.74925,                0.82942,                 0.4829,                 1.3859,                0.95675,                 1.2567,               0.009373,               0.009373,               0.009373
                     22,                 1.4887,                 1.0839,                 1.2843,                0.81207,                0.84281,                0.89137,                0.54802,                 1.3257,                0.87285,                 1.2202,                0.00934,                0.00934,                0.00934
                     23,                 1.4363,                 1.0229,                 1.2501,                0.81173,                0.80805,                0.86779,                0.50828,                  1.362,                0.89062,                 1.2463,               0.009307,               0.009307,               0.009307
                     24,                 1.4313,                  1.017,                   1.24,                0.83479,                0.85449,                0.90219,                0.55568,                 1.2864,                0.85064,                 1.1844,               0.009274,               0.009274,               0.009274
                     25,                 1.4483,                 1.0149,                  1.253,                0.87152,                0.81903,                 0.8982,                0.56481,                 1.3061,                0.82686,                 1.2084,               0.009241,               0.009241,               0.009241
                     26,                 1.4353,                 1.0003,                 1.2396,                0.86226,                0.81734,                0.91454,                0.57437,                 1.3074,                0.81798,                 1.1914,               0.009208,               0.009208,               0.009208
                     27,                 1.4334,                0.99749,                 1.2455,                0.84297,                0.81734,                 0.8697,                0.53455,                 1.3338,                0.87137,                 1.2108,               0.009175,               0.009175,               0.009175
                     28,                 1.4194,                0.98919,                  1.242,                0.88964,                0.82362,                0.92251,                 0.5815,                 1.2862,                0.79124,                  1.182,               0.009142,               0.009142,               0.009142
                     29,                 1.4124,                 0.9816,                 1.2382,                0.84696,                0.87926,                 0.9206,                0.56832,                 1.2944,                0.82567,                  1.193,               0.009109,               0.009109,               0.009109
                     30,                 1.4033,                0.98478,                 1.2344,                0.86177,                0.81424,                0.90611,                0.57926,                 1.2737,                0.81542,                 1.1702,               0.009076,               0.009076,               0.009076
                     31,                 1.4082,                0.96861,                 1.2386,                0.88449,                0.82972,                0.90071,                0.56069,                 1.2565,                0.83217,                 1.1781,               0.009043,               0.009043,               0.009043
                     32,                 1.3846,                0.94977,                 1.2111,                0.85758,                0.89164,                0.93085,                0.58635,                 1.2836,                0.74514,                 1.1641,                0.00901,                0.00901,                0.00901
