                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5382,                 2.6036,                 1.2161,                0.76436,                0.30351,                 0.4763,                0.27488,                 1.4388,                 3.4535,                 1.2083,             0.00065657,             0.00065657,             0.00065657
                      2,                  1.574,                 1.8257,                 1.2872,                0.65569,                0.61022,                0.64187,                0.36023,                 1.4386,                 1.7641,                 1.2346,              0.0013189,              0.0013189,              0.0013189
                      3,                 1.5737,                 1.5252,                 1.3034,                0.53186,                0.57714,                0.56448,                0.26158,                 1.6731,                 1.9155,                  1.417,              0.0019768,              0.0019768,              0.0019768
                      4,                 1.5913,                 1.4159,                 1.3179,                0.65231,                0.65176,                0.68314,                0.38998,                 1.3914,                 1.9798,                  1.241,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5753,                 1.3704,                 1.3063,                0.53465,                0.48882,                0.49727,                0.23456,                 1.8236,                    1.8,                 1.4938,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5675,                  1.324,                 1.3151,                0.63063,                0.68371,                0.66508,                0.36956,                 1.5465,                  1.362,                 1.4375,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.4962,                 1.2096,                  1.273,                0.73644,                0.70524,                0.76247,                0.42595,                 1.4511,                 1.3063,                 1.2647,               0.001967,               0.001967,               0.001967
                      8,                 1.4947,                  1.174,                  1.259,                0.74431,                  0.744,                0.78232,                0.46319,                 1.3852,                 1.0894,                 1.1905,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4907,                 1.1325,                 1.2687,                0.76742,                0.74121,                0.79282,                0.47877,                 1.3269,                 1.0565,                 1.1991,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4654,                 1.1036,                 1.2536,                0.67453,                0.72204,                0.71716,                0.41604,                 1.3798,                 1.1548,                 1.2357,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4682,                 1.1151,                 1.2599,                0.80146,                 0.7508,                0.81088,                0.48124,                 1.3752,                 1.0307,                 1.2364,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4382,                 1.0731,                 1.2364,                0.77238,                0.71565,                0.79245,                0.47429,                 1.3849,                  1.104,                 1.2057,               0.001934,               0.001934,               0.001934
